2019-03-02 02:02:56,952 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:56,952 [D] └:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:56,964 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:56,964 [D] |:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:56,965 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:56,965 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:56,977 [D] -:F:n:WD_1:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:56,988 [D] ┌:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:56,988 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:57,002 [D] ┌:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:57,002 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:57,002 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,002 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:57,002 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:57,015 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:57,027 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:57,027 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,039 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:57,039 [D] |:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,039 [D] └:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,053 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,068 [D] ┌:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,068 [D] └:F:n:WD_2:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,068 [D] ┌:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:57,069 [D] └:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,111 [D] -:F:n:WD_1:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,112 [D] -:F:n:WD_2:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,112 [D] -:F:n:WD_3:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:57,112 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:02:57,112 [D] comp_cached_cnt:6	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] compile_cnt:95	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] execute_cnt:14	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] fail_del_cnt:18	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] iter_idx:2	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] reuse_cnt:5	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] succ_del_cnt:1	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] time:1.7327790260314941	(at logger.py:134) 
2019-03-02 02:02:57,112 [D] deletion:15	(at logger.py:136) 
