2019-03-02 01:40:43,615 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:43,616 [I] Iter idx: 38, Qsize: 61	(at main.py:59) 
2019-03-02 01:40:43,616 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:43,800 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:43,800 [I] Iter idx: 39, Qsize: 60	(at main.py:59) 
2019-03-02 01:40:43,800 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:44,020 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:44,020 [I] Iter idx: 40, Qsize: 59	(at main.py:59) 
2019-03-02 01:40:44,020 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:44,156 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:44,156 [I] Iter idx: 41, Qsize: 58	(at main.py:59) 
2019-03-02 01:40:44,156 [I] Curr factor: [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:44,317 [I] Response: [True, True, True, False, False, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:44,318 [I] Iter idx: 42, Qsize: 57	(at main.py:59) 
2019-03-02 01:40:44,318 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:44,464 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:44,465 [I] Iter idx: 43, Qsize: 56	(at main.py:59) 
2019-03-02 01:40:44,465 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:44,607 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:44,607 [I] Iter idx: 44, Qsize: 55	(at main.py:59) 
2019-03-02 01:40:44,607 [I] Curr factor: [0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:44,754 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:44,755 [I] Iter idx: 45, Qsize: 54	(at main.py:59) 
2019-03-02 01:40:44,755 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:44,909 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:44,910 [I] Iter idx: 46, Qsize: 53	(at main.py:59) 
2019-03-02 01:40:44,910 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:45,073 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:45,074 [I] Iter idx: 47, Qsize: 52	(at main.py:59) 
2019-03-02 01:40:45,074 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:45,247 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:45,247 [I] Iter idx: 48, Qsize: 51	(at main.py:59) 
2019-03-02 01:40:45,247 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:45,400 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:45,400 [I] Iter idx: 49, Qsize: 50	(at main.py:59) 
2019-03-02 01:40:45,400 [I] Curr factor: [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:45,580 [I] Response: [True, True, True, False, False, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
