2019-01-23 05:34:07,567 [I] Initial factor queue size: 208	(at doe_manager.py:29) 
2019-01-23 05:34:15,941 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:16,276 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:16,276 [I] Iter idx: 36, Qsize: 171	(at main.py:51) 
2019-01-23 05:34:16,276 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:16,628 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:16,628 [I] Iter idx: 37, Qsize: 170	(at main.py:51) 
2019-01-23 05:34:16,628 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:53) 
2019-01-23 05:34:16,738 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:16,738 [I] Iter idx: 38, Qsize: 169	(at main.py:51) 
2019-01-23 05:34:16,738 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:17,099 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:17,099 [I] Iter idx: 39, Qsize: 168	(at main.py:51) 
2019-01-23 05:34:17,099 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:34:17,438 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:17,438 [I] Iter idx: 40, Qsize: 167	(at main.py:51) 
2019-01-23 05:34:17,438 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:17,541 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:17,542 [I] Iter idx: 41, Qsize: 166	(at main.py:51) 
2019-01-23 05:34:17,542 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:17,873 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:17,873 [I] Iter idx: 42, Qsize: 165	(at main.py:51) 
2019-01-23 05:34:17,873 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:53) 
2019-01-23 05:34:17,974 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:17,974 [I] Iter idx: 43, Qsize: 164	(at main.py:51) 
2019-01-23 05:34:17,974 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:18,074 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:18,075 [I] Iter idx: 44, Qsize: 163	(at main.py:51) 
2019-01-23 05:34:18,075 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:18,178 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:18,178 [I] Iter idx: 45, Qsize: 162	(at main.py:51) 
2019-01-23 05:34:18,178 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:18,516 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:18,517 [I] Iter idx: 46, Qsize: 161	(at main.py:51) 
2019-01-23 05:34:18,517 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:18,941 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
