2019-02-12 22:37:02,174 [D] └:C:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,224 [D] -:C:n:WD_1:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:02,243 [D] ┌:F:n:WD_2:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:02,243 [D] └:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,261 [D] ┌:F:n:WD_3:mbe.c:53	(at logger.py:129) 
2019-02-12 22:37:02,261 [D] |:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,261 [D] └:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:02,282 [D] -:F:n:WD_1:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,305 [D] ┌:F:n:WD_2:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,306 [D] └:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:02,327 [D] ┌:F:n:WD_3:mbe.c:52	(at logger.py:129) 
2019-02-12 22:37:02,327 [D] |:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:02,327 [D] └:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,373 [D] -:C:n:WD_1:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:03,390 [D] ┌:F:n:WD_2:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:03,390 [D] └:F:n:WD_2:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,407 [D] ┌:F:n:WD_3:mbe.c:51	(at logger.py:129) 
2019-02-12 22:37:03,407 [D] |:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,407 [D] └:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,425 [D] -:F:n:WD_1:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,443 [D] ┌:F:n:WD_2:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,443 [D] └:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,460 [D] ┌:F:n:WD_3:mbe.c:50	(at logger.py:129) 
2019-02-12 22:37:03,460 [D] |:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,460 [D] └:F:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:37:03,478 [D] -:F:n:WD_1:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,496 [D] ┌:F:n:WD_2:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,496 [D] └:F:n:WD_2:mbe.c:48	(at logger.py:129) 
2019-02-12 22:37:03,519 [D] ┌:F:n:WD_3:mbe.c:49	(at logger.py:129) 
2019-02-12 22:37:03,519 [D] |:F:n:WD_3:mbe.c:48	(at logger.py:129) 
2019-02-12 22:37:03,519 [D] └:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:03,560 [D] -:P:c:WD_1:mbe.c:48	(at logger.py:129) 
2019-02-12 22:37:03,576 [D] -:F:n:WD_1:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:03,593 [D] ┌:F:n:WD_2:mbe.c:47	(at logger.py:129) 
