2019-01-23 05:35:16,907 [I] Iter idx: 53, Qsize: 46	(at main.py:51) 
2019-01-23 05:35:16,908 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,011 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:35:17,011 [I] Iter idx: 54, Qsize: 45	(at main.py:51) 
2019-01-23 05:35:17,011 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,115 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,115 [I] Iter idx: 55, Qsize: 44	(at main.py:51) 
2019-01-23 05:35:17,115 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,224 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:17,225 [I] Iter idx: 56, Qsize: 43	(at main.py:51) 
2019-01-23 05:35:17,225 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,324 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,324 [I] Iter idx: 57, Qsize: 42	(at main.py:51) 
2019-01-23 05:35:17,324 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,425 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,426 [I] Iter idx: 58, Qsize: 41	(at main.py:51) 
2019-01-23 05:35:17,426 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,763 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,763 [I] Iter idx: 59, Qsize: 40	(at main.py:51) 
2019-01-23 05:35:17,763 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:35:17,874 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,875 [I] Iter idx: 60, Qsize: 39	(at main.py:51) 
2019-01-23 05:35:17,875 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:17,974 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:17,975 [I] Iter idx: 61, Qsize: 38	(at main.py:51) 
