2019-03-02 02:02:46,248 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,248 [D] └:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,263 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,263 [D] -:F:n:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,278 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,278 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,278 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,292 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,292 [D] ┌:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:46,292 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,292 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,305 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,305 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,319 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,319 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,319 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,332 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,332 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:46,332 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,332 [D] └:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,347 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,347 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,362 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,362 [D] ┌:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,362 [D] └:F:n:WD_2:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,375 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,376 [D] ┌:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:46,376 [D] |:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,376 [D] └:F:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,420 [D] -:C:n:WD_1:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,431 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,432 [D] ┌:F:n:WD_2:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,432 [D] └:F:n:WD_2:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,446 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,446 [D] ┌:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:46,446 [D] |:F:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,446 [D] └:F:n:WD_3:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,462 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
