2019-03-02 01:39:54,214 [I] Initial factor queue size: 185	(at doe_manager.py:29) 
2019-03-02 01:40:01,385 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:01,583 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:01,583 [I] Iter idx: 39, Qsize: 145	(at main.py:59) 
2019-03-02 01:40:01,583 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:01,759 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:01,760 [I] Iter idx: 40, Qsize: 144	(at main.py:59) 
2019-03-02 01:40:01,760 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:01,940 [I] Response: [True, True, True, True, False, True, True, True, True, False, False, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:01,941 [I] Iter idx: 41, Qsize: 143	(at main.py:59) 
2019-03-02 01:40:01,941 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:02,102 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:02,102 [I] Iter idx: 42, Qsize: 142	(at main.py:59) 
2019-03-02 01:40:02,102 [I] Curr factor: [0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:02,249 [I] Response: [True, True, True, True, False, True, False, False, True, False, False, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:02,250 [I] Iter idx: 43, Qsize: 141	(at main.py:59) 
2019-03-02 01:40:02,250 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:02,553 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:02,554 [I] Iter idx: 44, Qsize: 140	(at main.py:59) 
2019-03-02 01:40:02,554 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:02,743 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:02,744 [I] Iter idx: 45, Qsize: 139	(at main.py:59) 
2019-03-02 01:40:02,744 [I] Curr factor: [0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:02,926 [I] Response: [True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:02,927 [I] Iter idx: 46, Qsize: 138	(at main.py:59) 
