2019-03-02 02:26:49,307 [I] Iter idx: 45, Qsize: 54	(at main.py:59) 
2019-03-02 02:26:49,307 [I] Curr factor: [1, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:50,233 [I] Response: [True, False, False, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:50,234 [I] Iter idx: 46, Qsize: 53	(at main.py:59) 
2019-03-02 02:26:50,234 [I] Curr factor: [0, 0, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:50,764 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:50,765 [I] Iter idx: 47, Qsize: 52	(at main.py:59) 
2019-03-02 02:26:50,765 [I] Curr factor: [1, 0, 0, 0, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:51,730 [I] Response: [True, False, False, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:51,731 [I] Iter idx: 48, Qsize: 51	(at main.py:59) 
2019-03-02 02:26:51,731 [I] Curr factor: [0, 1, 0, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:52,845 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:52,846 [I] Iter idx: 49, Qsize: 50	(at main.py:59) 
2019-03-02 02:26:52,846 [I] Curr factor: [0, 0, 1, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:53,805 [I] Response: [True, False, True, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:53,805 [I] Iter idx: 50, Qsize: 49	(at main.py:59) 
2019-03-02 02:26:53,805 [I] Curr factor: [0, 0, 0, 1, 0, 1, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:54,676 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:54,676 [I] Iter idx: 51, Qsize: 48	(at main.py:59) 
2019-03-02 02:26:54,676 [I] Curr factor: [0, 1, 0, 1, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:55,386 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:55,386 [I] Iter idx: 52, Qsize: 47	(at main.py:59) 
2019-03-02 02:26:55,386 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:55,712 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:55,712 [I] Iter idx: 53, Qsize: 46	(at main.py:59) 
2019-03-02 02:26:55,712 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1]	(at main.py:61) 
2019-03-02 02:26:55,873 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:55,874 [I] Iter idx: 54, Qsize: 45	(at main.py:59) 
2019-03-02 02:26:55,874 [I] Curr factor: [1, 1, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
